datetime,fr_pr,uc_pr,hm_pr,fruchm_avg_pr
24/05/2007,11.4,7.6,6.6,8.5
25/05/2007,0,0,0.1,0
26/05/2007,0,0,0.1,0
27/05/2007,10.9,7.4,10.9,9.7
28/05/2007,11,7.4,7.7,8.7
29/05/2007,2.1,1.4,1.6,1.7
30/05/2007,0,0,1.2,0.4
31/05/2007,0,0,1,0.3
01/06/2007,0,0,2.5,0.8
02/06/2007,0,0,0.7,0.2
03/06/2007,4.3,3.3,2.5,3.4
04/06/2007,0.1,0.1,0.2,0.1
05/06/2007,1.1,0.9,1.9,1.3
06/06/2007,51,36.2,35.6,40.9
07/06/2007,3.5,2.7,2.2,2.8
08/06/2007,0,0,0.8,0.3
09/06/2007,0.1,0.1,0.1,0.1
10/06/2007,0.2,0.1,0.3,0.2
11/06/2007,0.4,0.3,0.2,0.3
12/06/2007,2.2,1.6,0.4,1.4
13/06/2007,0,0,0,0
14/06/2007,12.3,9.6,5.7,9.2
15/06/2007,13.1,10.2,7.4,10.2
16/06/2007,7.1,5.5,2.9,5.2
17/06/2007,99.2,76.9,72,82.7
18/06/2007,0.8,0.6,0.5,0.6
19/06/2007,0,0,0,0
20/06/2007,0,0,0,0
21/06/2007,0,0,0,0
22/06/2007,0,0,0.1,0
23/06/2007,0.1,0.1,0,0.1
24/06/2007,0.2,0.1,0.2,0.2
25/06/2007,0.5,0.3,0.1,0.3
26/06/2007,0,0,0,0
27/06/2007,0,0,0,0
28/06/2007,0,0,0,0
29/06/2007,9.2,7.2,4.1,6.8
30/06/2007,5,3,2.3,3.4
01/07/2007,0,0,0,0
02/07/2007,0,0,0,0
03/07/2007,0,0,0,0
04/07/2007,0,0,0,0
05/07/2007,0,0,0,0
06/07/2007,0,0,0,0
07/07/2007,0,0,0,0
08/07/2007,0,0,0,0
09/07/2007,2.5,1.9,1.5,2
10/07/2007,0,0,0,0
11/07/2007,0,0,0,0
12/07/2007,0,0,0,0
13/07/2007,0,0,0,0
14/07/2007,0,0,0,0
15/07/2007,0,0,0,0
16/07/2007,0,0,0,0
17/07/2007,4.9,3.8,2.9,3.9
18/07/2007,2.5,2,1.5,2
19/07/2007,4.8,3.7,2.8,3.8
20/07/2007,0,0,0,0
21/07/2007,0,0,0,0
22/07/2007,0,0,0,0
23/07/2007,0,0,0,0
24/07/2007,0,0,0,0
25/07/2007,0,0,0,0
26/07/2007,0,0,0,0
27/07/2007,0,0,0,0
28/07/2007,0,0,0,0
29/07/2007,0,0,0,0
30/07/2007,0,0,0,0
31/07/2007,0,0,0,0
01/08/2007,0,0,0,0
02/08/2007,0,0,0,0
03/08/2007,0.4,0.4,0.4,0.4
04/08/2007,0,0,0,0
05/08/2007,5,5,5,5
06/08/2007,0.2,0.2,0.2,0.2
07/08/2007,2,2,2,2
08/08/2007,15.5,12.1,9.2,12.3
09/08/2007,22.5,17.5,13.3,17.8
10/08/2007,17.3,12.2,9.2,12.9
11/08/2007,0.3,0.2,0.2,0.2
12/08/2007,0,0,0,0
13/08/2007,0,0,0,0
14/08/2007,0,0,0,0
15/08/2007,0,0,0,0
16/08/2007,0,0,0,0
17/08/2007,0,0,0,0
18/08/2007,1,0.8,0.6,0.8
19/08/2007,0,0,0,0
20/08/2007,0.3,0.2,0.2,0.2
21/08/2007,0,0,0,0
22/08/2007,0,0,0,0
23/08/2007,6.4,5,3.8,5.1
24/08/2007,0.3,0.2,0.2,0.2
25/08/2007,0,0,0,0
26/08/2007,19.7,15.3,11.6,15.5
27/08/2007,12.9,9.9,7.5,10.1
28/08/2007,0.1,0.1,0.1,0.1
29/08/2007,0,0,0,0
30/08/2007,0,0,0,0
31/08/2007,0,0,0,0
01/09/2007,10.3,7.5,5.1,7.6
02/09/2007,0.1,0.1,0.1,0.1
03/09/2007,0,0,0,0
04/09/2007,0,0,0,0
05/09/2007,0,0,0,0
06/09/2007,4.4,3.1,2,3.2
07/09/2007,1.3,0.9,0.6,0.9
08/09/2007,1.1,0.7,0.5,0.8
09/09/2007,7.4,5.2,3.4,5.3
10/09/2007,0,0,0,0
11/09/2007,0,0,0,0
12/09/2007,51.8,36.3,23.4,37.2
13/09/2007,0.1,0.1,0.1,0.1
14/09/2007,0,0,0,0
15/09/2007,0,0,0,0
16/09/2007,0,0,0,0
17/09/2007,3.1,2.2,1.4,2.2
18/09/2007,2.6,1.8,1.2,1.9
